level_0,index,Date,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindSpeed9am,Humidity9am,Cloud9am,RainToday,RainTomorrow,AverageTemp,day_of_week,month,index,Rainfall_prev,Evaporation_prev,Sunshine_prev,WindGustSpeed_prev,WindSpeed9am_prev,Humidity9am_prev,Cloud9am_prev,RainToday_prev,AverageTemp_prev,WindGustDir_N,WindGustDir_S,WindGustDir_E,WindGustDir_W,index,Location_Changi,Location_Sentosa,Location_Tuas,Location_Woodlands,Pressure9am_HIGH,Pressure9am_LOW,Pressure9am_MED
0,418,2008-07-01,0.0,1.4,9.5,WNW,26.0,6.0,81.0,0.0,0,0,29.6,1,7,0,0.0,1.4,9.5,26.0,6.0,81.0,0.0,0.0,29.6,1,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,4343,2008-07-02,0.0,2.0,9.8,W,30.0,15.0,41.0,0.0,0,0,28.5,2,7,1,0.0,1.7,9.65,28.0,10.5,61.0,0.0,0.0,29.05,0,0,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2,4740,2008-07-03,0.0,5.8,9.4,E,22.0,7.0,55.0,1.0,0,0,28.8,3,7,2,0.0,3.0666666666666664,9.566666666666668,26.0,9.333333333333334,59.0,0.3333333333333333,0.0,28.96666666666667,0,0,1,0,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0
3,11241,2008-07-04,0.8,1.8,1.1,SW,24.0,9.0,76.0,7.0,0,0,28.7,4,7,3,0.2,2.75,7.45,25.5,9.25,63.25,2.0,0.0,28.9,0,1,0,1,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0
4,2601,2008-07-05,0.0,2.0,0.3,S,37.0,11.0,81.0,7.0,0,1,28.0,5,7,4,0.16,2.6,6.0200000000000005,27.8,9.6,66.8,3.0,0.0,28.72,0,1,0,0,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0
5,6880,2008-07-06,16.2,5.2,6.4,ENE,31.0,7.0,78.0,5.0,1,0,29.3,6,7,5,2.8333333333333335,3.033333333333333,6.083333333333333,28.333333333333332,9.166666666666666,68.66666666666667,3.3333333333333335,0.16666666666666666,28.816666666666666,1,0,1,0,5,1.0,0.0,0.0,0.0,1.0,0.0,0.0
6,12164,2008-07-07,0.0,2.4,1.6,NE,17.0,9.0,83.0,7.0,0,1,29.5,0,7,6,2.4285714285714284,2.942857142857143,5.442857142857143,26.714285714285715,9.142857142857142,70.71428571428571,3.857142857142857,0.14285714285714285,28.914285714285715,1,0,1,0,6,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7,4566,2008-07-08,24.2,2.0,0.6,WSW,31.0,7.0,94.0,8.0,1,1,28.7,1,7,7,5.885714285714286,3.028571428571429,4.171428571428572,27.428571428571427,9.285714285714286,72.57142857142857,5.0,0.2857142857142857,28.785714285714285,0,1,0,1,7,1.0,0.0,0.0,0.0,1.0,0.0,0.0
8,4987,2008-07-09,3.8,1.0,6.533333333333334,W,43.0,13.0,48.0,1.0,1,0,26.4,2,7,8,6.428571428571429,2.885714285714286,3.7047619047619054,29.285714285714285,9.0,73.57142857142857,5.142857142857143,0.42857142857142855,28.485714285714288,0,0,0,1,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0
9,8517,2008-07-10,0.2,4.0,10.0,W,39.0,17.0,47.0,0.0,0,0,28.3,3,7,9,6.457142857142856,2.628571428571429,3.790476190476191,31.714285714285715,10.428571428571429,72.42857142857143,5.0,0.42857142857142855,28.414285714285715,0,0,0,1,9,1.0,0.0,0.0,0.0,1.0,0.0,0.0
10,5490,2008-07-11,0.0,4.0,7.9,W,28.0,11.0,48.0,7.0,0,0,27.3,4,7,10,6.3428571428571425,2.942857142857143,4.761904761904762,32.285714285714285,10.714285714285714,68.42857142857143,5.0,0.42857142857142855,28.214285714285715,0,0,0,1,10,1.0,0.0,0.0,0.0,0.0,0.0,1.0
11,12542,2008-07-12,0.0,2.2,-8.1,ENE,30.0,7.0,60.0,1.0,0,0,28.0,5,7,11,6.3428571428571425,2.9714285714285715,3.5619047619047626,31.285714285714285,10.142857142857142,65.42857142857143,4.142857142857143,0.42857142857142855,28.214285714285715,1,0,1,0,11,1.0,0.0,0.0,0.0,1.0,0.0,0.0
12,10192,2008-07-13,0.0,3.0,2.2,ENE,20.0,6.0,72.0,7.0,0,0,29.5,6,7,12,4.0285714285714285,2.6571428571428575,2.961904761904762,29.714285714285715,10.0,64.57142857142857,4.428571428571429,0.2857142857142857,28.24285714285714,1,0,1,0,12,1.0,0.0,0.0,0.0,1.0,0.0,0.0
13,10371,2008-07-14,0.0,1.0,4.5,N,19.0,4.0,86.0,7.0,0,0,30.6,0,7,13,4.0285714285714285,2.4571428571428577,3.3761904761904766,30.0,9.285714285714286,65.0,4.428571428571429,0.2857142857142857,28.400000000000002,1,0,0,0,13,1.0,0.0,0.0,0.0,1.0,0.0,0.0
14,11171,2008-07-15,0.0,1.2,5.9,W,31.0,9.0,80.0,5.0,0,1,31.1,1,7,14,0.5714285714285714,2.342857142857143,4.133333333333334,30.0,9.571428571428571,63.0,4.0,0.14285714285714285,28.742857142857144,0,0,0,1,14,1.0,0.0,0.0,0.0,1.0,0.0,0.0
15,1769,2008-07-16,5.4,2.6,0.0,SW,19.0,2.0,93.0,8.0,1,1,29.6,2,7,15,0.8,2.5714285714285716,3.1999999999999997,26.571428571428573,8.0,69.42857142857143,5.0,0.14285714285714285,29.2,0,1,0,1,15,1.0,0.0,0.0,0.0,0.0,0.0,1.0
16,2574,2008-07-17,2.8,0.8,8.7,WSW,17.0,7.0,80.0,3.0,1,0,29.2,3,7,16,1.1714285714285713,2.1142857142857143,3.0142857142857147,23.428571428571427,6.571428571428571,74.14285714285714,5.428571428571429,0.2857142857142857,29.328571428571426,0,1,0,1,16,1.0,0.0,0.0,0.0,0.0,0.0,1.0
17,11526,2008-07-18,0.0,1.2,9.6,WNW,37.0,6.0,72.0,2.0,0,0,29.5,4,7,17,1.1714285714285713,1.7142857142857142,3.2571428571428567,24.714285714285715,5.857142857142857,77.57142857142857,4.714285714285714,0.2857142857142857,29.642857142857142,1,0,0,1,17,1.0,0.0,0.0,0.0,0.0,0.0,1.0
18,2456,2008-07-19,0.0,3.2,9.8,W,33.0,2.0,55.0,0.0,0,0,28.2,5,7,18,1.1714285714285713,1.8571428571428574,5.814285714285715,25.142857142857142,5.142857142857143,76.85714285714286,4.571428571428571,0.2857142857142857,29.671428571428574,0,0,0,1,18,1.0,0.0,0.0,0.0,0.0,0.0,1.0
19,1881,2008-07-20,0.0,3.4,9.0,NNE,30.0,6.0,60.0,1.0,0,0,28.4,6,7,19,1.1714285714285713,1.9142857142857146,6.785714285714286,26.571428571428573,5.142857142857143,75.14285714285714,3.7142857142857144,0.2857142857142857,29.514285714285716,1,0,1,0,19,1.0,0.0,0.0,0.0,0.0,0.0,1.0
20,797,2008-07-21,0.0,2.2,3.3,W,35.0,6.0,83.0,8.0,0,0,29.6,0,7,20,1.1714285714285713,2.085714285714286,6.614285714285714,28.857142857142858,5.428571428571429,74.71428571428571,3.857142857142857,0.2857142857142857,29.37142857142857,0,0,0,1,20,1.0,0.0,0.0,0.0,0.0,0.0,1.0
21,6824,2008-07-22,0.0,3.6,7.5,W,33.0,7.0,48.0,1.0,0,0,28.9,1,7,21,1.1714285714285713,2.4285714285714284,6.8428571428571425,29.142857142857142,5.142857142857143,70.14285714285714,3.2857142857142856,0.2857142857142857,29.057142857142853,0,0,0,1,21,1.0,0.0,0.0,0.0,1.0,0.0,0.0
22,10294,2008-07-23,0.2,4.4,0.0,SSE,26.0,6.0,73.0,8.0,0,1,27.8,2,7,22,0.42857142857142855,2.685714285714286,6.8428571428571425,30.142857142857142,5.714285714285714,67.28571428571429,3.2857142857142856,0.14285714285714285,28.8,0,1,1,0,22,1.0,0.0,0.0,0.0,1.0,0.0,0.0
23,9017,2008-07-24,12.6,0.6,0.0,S,28.0,9.0,92.0,8.0,1,1,27.4,3,7,23,1.8285714285714287,2.6571428571428575,5.6000000000000005,31.714285714285715,6.0,69.0,4.0,0.14285714285714285,28.542857142857144,0,1,0,0,23,1.0,0.0,0.0,0.0,0.0,0.0,1.0
24,6690,2008-07-25,22.4,0.6,1.9,SW,28.0,9.0,86.0,8.0,1,0,28.6,4,7,24,5.028571428571429,2.5714285714285716,4.500000000000001,30.428571428571427,6.428571428571429,71.0,4.857142857142857,0.2857142857142857,28.414285714285715,0,1,0,1,24,1.0,0.0,0.0,0.0,0.0,0.0,1.0
25,9203,2008-07-26,0.4,1.4,9.5,WSW,24.0,9.0,62.0,0.0,0,0,27.8,5,7,25,5.085714285714286,2.3142857142857145,4.457142857142857,29.142857142857142,7.428571428571429,72.0,4.857142857142857,0.2857142857142857,28.357142857142858,0,1,0,1,25,1.0,0.0,0.0,0.0,0.0,0.0,1.0
26,8886,2008-07-27,0.0,2.8,2.3,SSW,30.0,6.0,64.0,7.0,0,1,27.3,6,7,26,5.085714285714286,2.2285714285714286,3.5,29.142857142857142,7.428571428571429,72.57142857142857,5.714285714285714,0.2857142857142857,28.2,0,1,0,1,26,1.0,0.0,0.0,0.0,0.0,0.0,1.0
27,5002,2008-07-28,2.4,2.0,-5.2,WSW,39.0,11.0,75.0,7.0,1,0,26.7,0,7,27,5.428571428571429,2.2,2.2857142857142856,29.714285714285715,8.142857142857142,71.42857142857143,5.571428571428571,0.42857142857142855,27.785714285714285,0,1,0,1,27,1.0,0.0,0.0,0.0,0.0,1.0,0.0
28,5673,2008-07-29,0.0,3.2,9.8,WSW,33.0,11.0,53.0,1.0,0,0,28.0,1,7,28,5.428571428571429,2.142857142857143,2.6142857142857143,29.714285714285715,8.714285714285714,72.14285714285714,5.571428571428571,0.42857142857142855,27.657142857142862,0,1,0,1,28,1.0,0.0,0.0,0.0,0.0,0.0,1.0
29,8438,2008-07-30,0.0,3.8,9.5,WNW,22.0,11.0,55.0,0.0,0,0,27.5,2,7,29,5.3999999999999995,2.0571428571428574,3.9714285714285715,29.142857142857142,9.428571428571429,69.57142857142857,4.428571428571429,0.42857142857142855,27.614285714285717,1,0,0,1,29,1.0,0.0,0.0,0.0,0.0,0.0,1.0
30,6354,2008-07-31,0.0,2.6,-9.9,WSW,26.0,6.0,47.0,0.0,0,0,27.0,3,7,30,3.6000000000000005,2.342857142857143,2.557142857142857,28.857142857142858,9.0,63.142857142857146,3.2857142857142856,0.2857142857142857,27.557142857142857,0,1,0,1,30,1.0,0.0,0.0,0.0,0.0,0.0,1.0
31,12236,2008-08-01,0.0,3.6,9.8,W,35.0,2.0,54.0,1.0,0,0,29.7,4,8,31,0.40000000000000047,2.771428571428572,3.685714285714286,29.857142857142858,8.0,58.57142857142857,2.2857142857142856,0.14285714285714285,27.714285714285715,0,0,0,1,31,1.0,0.0,0.0,0.0,0.0,0.0,1.0
32,4067,2008-08-02,0.0,6.0,10.3,W,46.0,19.0,48.0,1.0,0,0,29.3,5,8,32,0.34285714285714336,3.4285714285714284,3.8000000000000003,33.0,9.428571428571429,56.57142857142857,2.4285714285714284,0.14285714285714285,27.928571428571427,0,0,0,1,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0
33,11733,2008-08-03,0.0,5.6,10.1,WSW,22.0,11.0,47.0,0.0,0,0,28.2,6,8,33,0.34285714285714336,3.8285714285714287,4.914285714285714,31.857142857142858,10.142857142857142,54.142857142857146,1.4285714285714286,0.14285714285714285,28.057142857142857,0,1,0,1,33,1.0,0.0,0.0,0.0,0.0,0.0,1.0
34,11758,2008-08-04,0.0,3.2,9.8,NE,26.0,7.0,75.0,1.0,0,0,28.4,0,8,34,0.0,4.0,7.057142857142858,30.0,9.571428571428571,54.142857142857146,0.5714285714285714,0.0,28.3,1,0,1,0,34,1.0,0.0,0.0,0.0,0.0,0.0,1.0
35,5164,2008-08-05,0.0,3.2,8.0,E,22.0,7.0,62.0,1.0,0,0,28.5,1,8,35,0.0,4.0,6.8,28.428571428571427,9.0,55.42857142857143,0.5714285714285714,0.0,28.37142857142857,0,0,1,0,35,1.0,0.0,0.0,0.0,0.0,0.0,1.0
36,8400,2008-08-06,0.2,2.2,10.2,W,39.0,7.0,56.0,1.0,0,0,28.5,2,8,36,0.02857142857142908,3.771428571428572,6.8999999999999995,30.857142857142858,8.428571428571429,55.57142857142857,0.7142857142857143,0.0,28.514285714285712,0,0,0,1,36,1.0,0.0,0.0,0.0,0.0,0.0,1.0
